=== [DEBUG] Vertices (228 total) ===
[   49] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   50] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   51] Pos(  0.2324,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   52] Pos( -0.2275,  -1.2166,   1.1338)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   53] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   54] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   55] Pos(  0.2324,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   56] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   57] Pos(  0.2324,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   58] Pos( -0.2275,  -1.2226,   1.4972)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   59] Pos( -0.2275,  -0.7455,   1.4777)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   60] Pos( -0.2274,  -0.0755,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   61] Pos(  0.2237,  -0.0755,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   62] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   63] Pos( -0.2274,  -0.0755,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   64] Pos( -0.2274,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   65] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   66] Pos(  0.2237,   0.5515,   0.3845)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   67] Pos(  0.2237,   0.6341,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   68] Pos(  0.2237,   1.1194,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   69] Pos(  0.2237,   0.5515,   0.3845)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   70] Pos(  0.2237,   1.1043,   0.4085)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   71] Pos(  0.2237,   1.1194,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   72] Pos(  0.2237,  -0.1298,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   73] Pos( -0.2274,  -0.1298,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   74] Pos( -0.2274,  -0.7312,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   75] Pos(  0.2237,  -0.1298,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   76] Pos(  0.2237,  -0.7312,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   77] Pos( -0.2274,  -0.7312,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   78] Pos( -0.2274,  -0.7312,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   79] Pos( -0.2274,  -0.7312,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   80] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   81] Pos( -0.2274,  -0.7312,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   82] Pos(  0.2237,  -0.7312,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   83] Pos(  0.2237,  -0.7312,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   84] Pos(  0.2237,   1.1194,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   85] Pos(  0.2237,   1.1194,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   86] Pos( -0.2274,   1.1194,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   87] Pos(  0.2237,   1.1194,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   88] Pos( -0.2274,   1.1194,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   89] Pos( -0.2274,   1.1194,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   90] Pos(  0.2237,   1.1194,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   91] Pos( -0.2274,   1.1194,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   92] Pos( -0.2274,   0.5073,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[   93] Pos(  0.2237,   1.1194,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   94] Pos(  0.2237,   0.5073,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   95] Pos( -0.2274,   0.5073,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[   96] Pos(  0.2237,   0.5073,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   97] Pos( -0.2274,   0.5073,   0.9015)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   98] Pos( -0.2274,   1.1043,   0.4085)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[   99] Pos(  0.2237,   0.5073,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  100] Pos(  0.2237,   1.1043,   0.4085)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  101] Pos( -0.2274,   1.1043,   0.4085)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  102] Pos(  0.2237,   1.1043,   0.4085)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  103] Pos( -0.2274,   1.1043,   0.4085)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  104] Pos( -0.2274,   0.5515,   0.3845)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  105] Pos(  0.2237,   1.1043,   0.4085)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  106] Pos(  0.2237,   0.5515,   0.3845)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  107] Pos( -0.2274,   0.5515,   0.3845)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  108] Pos(  0.2237,   0.5515,   0.3845)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  109] Pos( -0.2274,   0.5515,   0.3845)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  110] Pos( -0.2274,  -0.1298,   0.9015)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  111] Pos(  0.2237,   0.5515,   0.3845)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  112] Pos(  0.2237,  -0.1298,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  113] Pos( -0.2274,  -0.1298,   0.9015)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  114] Pos( -0.2274,   1.1194,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  115] Pos(  0.2237,   1.1194,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  116] Pos(  0.2237,   0.6341,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  117] Pos( -0.2274,   1.1194,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  118] Pos( -0.2274,   0.6341,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  119] Pos(  0.2237,   0.6341,  -0.0376)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  120] Pos( -0.2274,   0.6341,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  121] Pos(  0.2237,   0.6341,  -0.0376)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  122] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  123] Pos( -0.2274,   0.6341,  -0.0376)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  124] Pos( -0.2274,  -0.0668,   0.3986)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  125] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
[  126] Pos( -0.2274,  -0.0668,   0.3986)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  127] Pos(  0.2237,  -0.0668,   0.3986)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  128] Pos(  0.2237,  -0.6846,   0.3897)  Col(0.2000, 0.2000, 0.2000)  UV(0.0000, 0.0000)
[  129] Pos( -0.2274,  -0.0668,   0.3986)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  130] Pos( -0.2274,  -0.6846,   0.3897)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  131] Pos(  0.2237,  -0.6846,   0.3897)  Col(0.3000, 0.3000, 0.3000)  UV(0.0000, 0.0000)
[  132] Pos( -0.2274,  -0.6846,   0.3897)  Col(0.4000, 0.4000, 0.4000)  UV(0.0000, 0.0000)
